RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,17906,9384,9384,0,11965,0.304162264,3085,385.667786,0.524103999,3.87414837,-99.0000000,-99,-99,-99,-99,-99,3,93,578,647,359,288,24,50,259,2,50,0,155,0,17,124,129,92,0.107219137,-99,-99,-99,-99,-99,-99,-99,-99,0,32040,32037,0,0,247039,246986,0.00000000,4.99134398,35.6048927,29.4066200,49.8111992,192.050919,18.6597767,15.4113922,26.1050034,100.649849,358.113953,115.520630,187.679993,60.5419350,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.900208,251.656403,359.471313,1,
2,2,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,22766,12267,12267,0,16136,0.273483545,4485,560.682861,0.538828552,4.86790800,-99.0000000,-99,-99,-99,-99,-99,3,89,578,648,397,251,24,50,254,2,100,0,201,0,16,121,175,135,0.153150678,-99,-99,-99,-99,-99,-99,-99,-99,0,32044,32042,0,0,247014,246962,0.00000000,4.82396650,45.2695580,37.3816795,57.3724327,254.395203,24.3925266,20.1423130,30.9138985,137.075363,227.660583,113.263969,122.669998,61.0298500,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,609.016479,215.214874,396.811798,1,
3,3,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,25622,13273,13273,0,18469,0.267029196,4971,621.349609,0.518058836,5.19919586,-99.0000000,-99,-99,-99,-99,-99,3,92,578,648,409,238,24,50,257,2,150,0,245,0,17,115,217,173,0.199923560,-99,-99,-99,-99,-99,-99,-99,-99,0,32049,32047,0,0,247003,246951,0.00000000,4.48838568,50.9476395,42.1092720,62.5941353,278.770935,26.3929253,21.8142948,32.4262772,144.414536,170.810425,104.577812,88.4866638,54.1755104,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.454224,202.520889,409.328522,1,
4,4,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,27169,14593,14593,0,19915,0.291329086,5009,626.149353,0.537120759,5.22922182,-99.0000000,-99,-99,-99,-99,-99,3,91,578,647,411,237,23,49,258,2,200,0,285,0,18,107,258,212,0.257947475,-99,-99,-99,-99,-99,-99,-99,-99,0,32057,32055,0,0,246983,246931,0.00000000,4.39534283,54.0254288,44.6694374,66.1309357,298.541962,29.0177021,23.9924870,35.5197144,160.350449,135.846924,95.3311768,72.9649963,51.2035103,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.232056,200.790939,410.842285,1,
5,5,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,28211,15137,15137,0,20458,0.302175045,5009,626.149353,0.536546588,5.22922182,-99.0000000,-99,-99,-99,-99,-99,3,93,578,647,411,237,24,49,259,2,250,0,326,0,20,101,299,244,0.318649679,-99,-99,-99,-99,-99,-99,-99,-99,0,32063,32060,0,0,246980,246928,0.00000000,4.61816883,56.0967255,46.3807220,68.6663132,304.784149,30.0994282,24.8861790,36.8438034,163.535904,112.844154,86.5369263,60.5480003,46.4325142,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.249268,200.808380,410.842499,1,
6,6,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,28590,15137,15137,0,20458,0.302175045,5009,626.149353,0.529442430,5.22922182,-99.0000000,-99,-99,-99,-99,-99,3,90,578,647,411,237,24,49,257,2,300,0,363,0,26,96,337,259,0.385301054,-99,-99,-99,-99,-99,-99,-99,-99,0,32067,32065,0,0,246979,246927,0.00000000,4.72009134,56.8494453,47.0021896,69.5872421,316.041199,30.0994282,24.8857136,36.8435631,167.330734,95.2986069,78.7591782,50.4566650,41.6997261,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.260620,200.816788,410.845184,1,
7,7,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,28590,15137,15137,0,20458,0.302175045,5009,626.149353,0.529442430,5.22922182,-99.0000000,-99,-99,-99,-99,-99,3,89,578,647,411,237,24,49,255,2,350,0,369,0,64,91,343,259,0.456385136,-99,-99,-99,-99,-99,-99,-99,-99,0,32072,32070,0,0,246978,246925,0.00000000,4.70725536,56.8494453,47.0015793,69.5867920,322.212128,30.0994282,24.8853893,36.8433266,170.597992,81.6845169,77.4785385,43.2485733,41.0216789,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.268555,200.822235,410.847809,1,
8,8,1,1,1,MZ,MZCER048,UFGA0002,Mar_1_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018060,2018121,2018179,2018227,2018227,2018,-99,28590,15137,15137,0,20458,0.302175045,5009,626.149353,0.529442430,5.22922182,-99.0000000,-99,-99,-99,-99,-99,3,93,578,647,411,237,24,49,259,2,400,0,369,0,110,88,343,259,0.535517037,-99,-99,-99,-99,-99,-99,-99,-99,0,32075,32073,0,0,246975,246923,0.00000000,4.75132322,56.8494453,47.0007439,69.5856552,306.533264,30.0994282,24.8849468,36.8427200,162.296677,71.4739532,77.4785385,37.8424988,41.0216789,167,21.0772476,9.72874355,19.9371204,13.8051596,408.136475,502.899933,608.279358,200.827744,410.854553,1,
9,9,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,17954,9454,9454,0,12069,0.304084212,3109,388.633698,0.526588857,3.83954906,-99.0000000,-99,-99,-99,-99,-99,3,90,578,646,359,287,24,50,257,2,50,0,156,0,16,125,130,93,0.107961647,-99,-99,-99,-99,-99,-99,-99,-99,0,32039,32037,0,0,247035,246982,0.00000000,5.04575396,37.0483818,30.0159512,49.9560661,199.205460,19.5088749,15.8057489,26.3057823,104.897278,359.072876,115.087463,189.080002,60.6025658,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,598.136780,240.976730,359.388672,1,
10,10,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,22811,12275,12275,0,16193,0.273296624,4492,561.453674,0.538140595,4.82088041,-99.0000000,-99,-99,-99,-99,-99,3,91,578,648,397,252,24,50,256,2,100,0,202,0,16,121,176,135,0.153536811,-99,-99,-99,-99,-99,-99,-99,-99,0,32043,32041,0,0,247016,246963,0.00000000,4.82937574,47.0716057,38.0347633,57.5062485,251.364136,25.3301716,20.4672661,30.9452591,135.264069,228.108978,112.925240,122.750000,60.7673264,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,599.738159,206.079010,396.668182,1,
