EXNAME,HDAT,SDAT,PDAT,HWAM
Mar_1_50N_Rainfed        ,2018,2018060,2018121,0
Mar_1_100N_Rainfed       ,2018,2018060,2018121,0
Mar_1_150N_Rainfed       ,2018,2018060,2018121,0
Mar_1_200N_Rainfed       ,2018,2018060,2018121,0
Mar_1_250N_Rainfed       ,2018,2018060,2018121,0
Mar_1_300N_Rainfed       ,2018,2018060,2018121,0
Mar_1_350N_Rainfed       ,2018,2018060,2018121,0
Mar_1_400N_Rainfed       ,2018,2018060,2018121,0
Mar_2_50N_Rainfed        ,2018,2018069,2018121,0
Mar_2_100N_Rainfed       ,2018,2018069,2018121,0
Mar_2_150N_Rainfed       ,2018,2018069,2018121,0
Mar_2_200N_Rainfed       ,2018,2018069,2018121,0
Mar_2_250N_Rainfed       ,2018,2018069,2018121,0
Mar_2_300N_Rainfed       ,2018,2018069,2018121,0
Mar_2_350N_Rainfed       ,2018,2018069,2018121,0
Mar_2_400N_Rainfed       ,2018,2018069,2018121,0
Mar_3_50N_Rainfed        ,2018,2018081,2018122,0
Mar_3_100N_Rainfed       ,2018,2018081,2018122,0
Mar_3_150N_Rainfed       ,2018,2018081,2018122,0
Mar_3_200N_Rainfed       ,2018,2018081,2018122,0
Mar_3_250N_Rainfed       ,2018,2018081,2018122,0
Mar_3_300N_Rainfed       ,2018,2018081,2018122,0
Mar_3_350N_Rainfed       ,2018,2018081,2018122,0
Mar_3_400N_Rainfed       ,2018,2018081,2018122,0
Apr_1_50N_Rainfed        ,2018,2018092,2018122,0
Apr_1_100N_Rainfed       ,2018,2018092,2018122,0
Apr_1_150N_Rainfed       ,2018,2018092,2018122,0
Apr_1_200N_Rainfed       ,2018,2018092,2018122,0
Apr_1_250N_Rainfed       ,2018,2018092,2018122,0
Apr_1_300N_Rainfed       ,2018,2018092,2018122,0
Apr_1_350N_Rainfed       ,2018,2018092,2018122,0
Apr_1_400N_Rainfed       ,2018,2018092,2018122,0
Apr_2_50N_Rainfed        ,2018,2018103,2018122,0
Apr_2_100N_Rainfed       ,2018,2018103,2018122,0
